M X: 618, Y: -5116, Z: -146 14:07:33
O X: 0, Y: 0, Z: 0 14:07:33
O X: 0, Y: 0, Z:0 14:07:33
M X: 396, Y: -5110, Z: -176 14:07:42
O X: 0, Y: 0, Z: 0 14:07:42
M X: 594, Y: -5106, Z: -334 14:07:43
O X: 0, Y: 0, Z: 0 14:07:43
M X: 456, Y: -5086, Z: -135 14:07:44
O X: 0, Y: 0, Z: 0 14:07:44
M X: 396, Y: -5110, Z:-176 14:07:42
M X: 594, Y: -5106, Z:-334 14:07:43
M X: 456, Y: -5086, Z:-135 14:07:44
M X: 430, Y: -5108, Z: -138 14:08:24
O X: 0, Y: 0, Z: 0 14:08:24
M X: 422, Y: -5076, Z: -375 14:08:26
O X: 0, Y: 0, Z: 0 14:08:26
M X: 404, Y: -5050, Z: -174 14:08:27
O X: 0, Y: 0, Z: 0 14:08:27
M X: 396, Y: -5076, Z: -129 14:08:27
O X: 0, Y: 0, Z: 0 14:08:27
M X: 430, Y: -5108, Z:-138 14:08:24
O X: 0, Y: 0, Z:0 14:08:24
M X: 422, Y: -5076, Z:-375 14:08:26
O X: 0, Y: 0, Z:0 14:08:26
O X: 0, Y: 0, Z:0 14:08:27
O X: 0, Y: 0, Z:0 14:08:27
M X: 0, Y: 0, Z: 0 16:22:07
M X: 238, Y: -4984, Z: 794 17:32:45
O X: 0, Y: 0, Z: 0 17:32:45
O X: 0, Y: 0, Z:0 17:32:45
M X: 532, Y: -4980, Z: 801 17:33:08
O X: 0, Y: 0, Z: 0 17:33:08
M X: 532, Y: -4980, Z:801 17:33:08
