O X: 100, Y: 100, Z: 100 00:59:44
O X: 100, Y: 100, Z: 100 01:00:07
O X: 100, Y: 100, Z: 100 01:00:08
O X: 100, Y: 100, Z: 100 01:00:08
O X: 100, Y: 100, Z: 100 01:00:08
O X: 100, Y: 100, Z: 100 01:00:09
O X: 100, Y: 100, Z: 100 01:00:09
O X: 100, Y: 100, Z: 100 01:00:10
O X: 100, Y: 100, Z: 100 01:00:10
O X: 100, Y: 100, Z: 100 01:00:10
O X: 100, Y: 100, Z: 100 01:00:10
O X: 0, Y: 100, Z: 100 01:00:10
O X: 100, Y: 100, Z: 100 01:00:10
O X: 100, Y: 100, Z: 0 01:00:11
O X: 100, Y: 100, Z: 100 01:00:11
O X: 100, Y: 100, Z: 100 01:00:11
O X: 100, Y: 100, Z: 100 01:00:11
O X: 100, Y: 100, Z: 100 01:00:11
O X: 100, Y: 0, Z: 100 01:00:12
O X: 100, Y: 100, Z: 100 01:00:12
O X: 100, Y: 100, Z: 100 01:00:12
O X: 100, Y: 100, Z: 100 01:00:12
O X: 0, Y: 100, Z: 100 01:00:12
O X: 100, Y: 100, Z: 100 01:00:12
O X: 100, Y: 100, Z: 100 01:00:12
O X: 100, Y: 100, Z: 100 01:00:12
O X: 100, Y: 100, Z: 100 01:00:12
O X: 100, Y: 100, Z: 100 01:00:12
O X: 100, Y: 100, Z: 100 01:00:12
O X: 100, Y: 100, Z: 100 01:00:12
O X: 100, Y: 100, Z: 100 01:00:13
O X: 100, Y: 100, Z: 100 01:00:13
