328,-4692,250
212,-4678,97
44,-4202,99
-184,-3702,60
-480,-3096,58
-622,-2460,-76
-726,-1822,-139
-858,-1182,-145
-932,-476,-164
-930,90,-213
-894,526,-306
-788,900,-321
-756,1158,-311
-614,1272,-330
-390,962,-393
110,574,-374
382,132,-382
754,-410,-323
1108,-1116,-373
1376,-1714,-315
1724,-2376,-305
2016,-2900,-284
2276,-3430,-260
2550,-3826,-237
2774,-4126,-172
2988,-4230,-118
3244,-4040,-100
3332,-3770,-53
3442,-3338,35
3466,-2764,125
3416,-2100,235
3330,-1550,252
3192,-886,264
3180,-302,318
2936,254,440
2784,664,441
2642,1020,650
2458,1202,680
2228,1052,718
2000,782,846
1638,364,949
1416,-220,991
1218,-840,1089
1104,-1552,1087
904,-2292,1198
682,-2958,1230
450,-3656,1401
224,-4188,1467
82,-4698,1653
-132,-5012,1699
-372,-5336,1700
-526,-5212,1810
-1004,-4964,1865
-1266,-4538,1994
-1486,-3986,2045
-1650,-3458,2051
-1810,-2830,2071
-1966,-2216,2124
-2004,-1560,2214
-2116,-1014,2216
-2122,-544,2261
-2072,-156,2255
-2050,176,2311
-1888,168,2286
-1510,-154,2299
-1306,-488,2278
-970,-966,2261
-652,-1514,2222
-310,-2124,2221
32,-2732,2154
368,-3344,2178
676,-3916,2163
998,-4380,2175
1276,-4776,2055
1582,-5182,2038
1796,-5142,1941
2254,-4916,1862
2388,-4574,1809
2466,-4166,1758
2524,-3612,1736
2504,-2942,1657
2542,-2290,1585
2472,-1598,1517
2460,-962,1443
2378,-336,1303
2280,154,1212
2142,884,1193
2032,964,1120
1786,874,1030
1666,700,956
1544,350,876
1496,-170,766
1358,-656,680
1280,-1272,664
1178,-1946,563
1078,-2592,490
868,-3216,398
738,-3742,370
622,-4512,258
506,-4706,184
216,-4718,203
54,-4594,150
-132,-4284,91
-290,-3900,12
-456,-3330,-8
-598,-2710,-36
-706,-2066,-85
-818,-1370,-146
-936,-748,-290
-874,-114,-274
-880,824,-341
-848,1076,-257
-664,1226,-299
-476,1196,-308
-224,1034,-327
20,680,-312
364,240,-332
632,-294,-329
922,-898,-405
1216,-1530,-329
1582,-2198,-286
1890,-3296,-208
2244,-3762,-247
2716,-4070,-182
2934,-4186,-95
3118,-4232,-141
3262,-4116,-57
3376,-3878,75
3364,-3480,45
3360,-2980,127
3374,-2370,191
3346,-1768,216
3254,-1154,373
3090,24,421
2986,516,473
2650,898,568
2486,1080,613
2244,1230,652
2060,1208,735
1864,912,855
1656,586,894
1500,38,950
1316,-518,1081
1110,-1184,1204
936,-2666,1307
736,-3358,1281
326,-3950,1463
154,-4500,1592
-54,-4862,1608
-282,-5174,1681
-518,-5320,1752
-684,-5250,1779
-934,-5046,1862
-1148,-4736,1935
-1374,-4312,2106
-1544,-3786,2073
-1716,-2538,2139
-1920,-1856,2156
-2152,-1292,2244
-2176,-782,2217
-2126,-376,2239
-2084,-22,2210
-2004,172,2307
-1872,160,2281
-1648,6,2281
-1422,-300,2338
-1166,-692,2326
-824,-1244,2240
-546,-2394,2243
-186,-3032,2291
534,-3636,2255
864,-4136,2125
1120,-4598,2170
1424,-4934,2068
1704,-5106,2046
1922,-5190,1956
2138,-5066,1937
2274,-4822,1868
2386,-4424,1804
2480,-3138,1714
2492,-2648,1667
2482,-1958,1548
2460,-1282,1470
2420,-672,1373
2334,-124,1334
2236,368,1308
2118,730,1277
1982,924,1185
1826,966,1144
1736,900,907
1622,630,810
1496,-322,788
1426,-888,723
1188,-1518,569
1086,-2216,545
954,-2812,560
782,-3444,411
710,-3938,386
560,-4260,316
444,-4566,285
312,-4712,271
182,-4654,98
-16,-4506,87
-200,-3672,2
-382,-3096,-18
-668,-2490,-31
-780,-1836,-78
-838,-1156,-191
-922,-498,-184
-930,66,-253
-888,544,-211
-844,932,-331
-712,1154,-310
-558,1228,-296
-450,1142,-351
-228,496,-352
110,14,-357
718,-550,-390
1042,-1218,-376
1364,-1784,-333
1696,-2404,-289
1996,-2982,-272
2292,-3466,-240
2534,-3864,-232
2794,-4120,-204
3018,-4278,-184
3160,-4232,-118
3316,-3734,-27
3378,-3298,2
3382,-2768,147
3312,-2140,176
3258,-1502,251
3136,-864,293
3040,-318,344
2910,260,421
2752,650,493
2580,1018,556
2350,1176,693
2200,1180,816
1936,776,768
1768,304,808
1420,-242,1021
1190,-940,1042
1054,-1610,1128
860,-2358,1242
642,-2998,1360
464,-3710,1409
242,-4274,1553
72,-4764,1529
-124,-5056,1634
-370,-5328,1747
-572,-5242,1740
-812,-4950,1863
-1258,-4494,1887
-1478,-4046,1944
-1648,-3468,2027
-1826,-2802,2068
-1996,-2184,2158
-2044,-1548,2182
-2146,-976,2126
-2154,-514,2166
-2076,-172,2225
-2046,72,2260
-1884,186,2256
-1730,-164,2225
-1268,-530,2281
-952,-990,2219
-618,-1550,2273
-348,-2116,2233
44,-2766,2227
358,-3406,2166
686,-3928,2226
960,-4418,2108
1310,-4772,2092
1566,-5018,1964
1834,-4912,1928
2094,-4926,1952
2342,-4620,1803
2400,-4134,1824
2524,-3542,1647
2562,-2920,1612
2552,-2270,1583
2516,-1536,1498
2466,-902,1411
2324,-316,1385
2270,238,1280
2170,644,1104
2052,904,1055
1904,902,1036
1760,706,978
1552,292,850
1512,-160,804
1350,-726,682
1244,-1348,648
1112,-2036,519
994,-2664,522
884,-3304,465
750,-3822,399
628,-4218,277
468,-4758,187
358,-4742,155
208,-4596,193
-94,-4290,74
-302,-3858,43
-494,-3342,20
-604,-2710,-112
-742,-2034,-158
-842,-1350,-148
-874,-634,-175
-846,-70,-236
-856,432,-306
-868,856,-375
-722,1256,-324
-604,1178,-378
-200,1004,-348
54,652,-344
384,186,-397
714,-358,-436
1056,-980,-404
1334,-1646,-380
1658,-2238,-324
1936,-2808,-193
2206,-3348,-191
2494,-4034,-232
2742,-4188,-186
3120,-4248,-126
3324,-4152,-76
3396,-3854,-13
3446,-3478,13
3422,-2912,163
3416,-2378,115
3362,-1682,175
3220,-1060,284
3182,-476,389
3006,90,429
2826,912,511
2702,1184,618
2276,1232,746
2068,1194,764
1818,906,847
1702,518,864
1508,0,940
1310,-630,1015
1128,-1322,1106
948,-2006,1194
738,-2718,1367
576,-3440,1442
312,-4530,1557
154,-4948,1605
-286,-5182,1662
-476,-5306,1738
